번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
290,WO,COMPACT EYE TRACKING USING FOLDED DISPLAY OPTICS,A1,GOOGLE LLC,Google,2018-02-23,2018,2,,,,미등록(A1 등),20,16~30항,G02B27/01|G02B27/00|G02B13/00|G02B17/08,"['G02B', 'G02B', 'G02B', 'G02B']",4,G02B27/0172|G02B27/0093|G02B27/283|G02B27/286|G02B5/20|G02B5/208|G02B13/0055|G02B17/0856|G02B2027/0138|G02B5/3025|G02B2027/0178|G02B27/0101|G02B27/0955|G06F3/013,14,['광학부품(Optics)'],"Optical assemblies for use in virtual and augmented reality environments are described. The optical assemblies may include lenses, filter stacks, cameras, and image projecting devices. For example, the optical assemblies may include at least one lens, a first filter stack between the at least one lens and an image projecting device, a second filter stack between the first filter stack and the image projecting device, and a camera configured to capture images of an infrared reflection of light through the at least one lens.",528,10.3,WO2018156941,PCT/US2018/019500
291,WO,SWITCHING OF ACTIVE OBJECTS IN AN AUGMENTED AND/OR VIRTUAL REALITY ENVIRONMENT,A1,GOOGLE LLC,Google,2017-08-28,2017,8,,,,미등록(A1 등),19,16~30항,G06F3/01|G06F3/0484,"['G06F', 'G06F']",2,G06F3/011|G06F3/013|G06F3/04842|G06F3/012|G06F3/04815|G06F3/04845,6,['컴퓨팅/인터페이스(Computing)'],"In a virtual reality system, an optical tracking device may detect and track a user's eye gaze direction and/or movement relative to virtual objects included in virtual user interfaces displayed in a virtual environment, and sensors in a head mounted display device may detect and track a user's head gaze direction and/or movement relative to the virtual objects in the virtual environment. A processor may process the detected gaze direction and/or movement as a user input, and may move or rearrange one or more of the virtual objects in response to the detected gaze direction and/or movement.",597,6.3,WO2018101995,PCT/US2017/048961
292,WO,HEAD-MOUNTED DISPLAY WITH OFF-BOARD ILLUMINATION,A1,GOOGLE LLC,Google,2017-07-21,2017,7,,,,미등록(A1 등),16,16~30항,G02B27/01,['G02B'],1,G02B27/0172|G02B6/0006|G02B6/0008|G02B6/0028|G02B6/005|G02B6/0068|G02B6/0075,7,['광학부품(Optics)'],"Techniques of providing illumination to a head-mounted display (HMD) involve providing off-board illumination apart from the HMD. An off-board illumination unit delivers the illumination to the HMD via optical fibers. The optical fibers are lightweight and do not restrict motion of a user. Because the power source is less restricted, the off-board illumination unit provides flexibility in the hardware used to generate the illumination. For example, the illumination unit may use red, green, and blue narrow-band diode lasers. Further, by controlling modes in the fiber and providing additional light-guiding hardware, the angles at which light strikes LCD pixels may be largely restricted to certain specified angles. Restricted angles of incidence enable the use of fast-switching liquid crystals without degrading the image quality. Such a restriction allows for high-resolution imaging using rapid switching of the liquid crystal which enables very low latencies.",970,5.7,WO2018017961,PCT/US2017/043300
293,WO,HEAD MOUNTED DISPLAY DEVICE HAVING DISPLAY PANELS WITH ASYMMETRIC PANEL BORDERS FOR IMPROVED NASAL FOV,A1,GOOGLE LLC,Google,2017-06-16,2017,6,,,,미등록(A1 등),18,16~30항,G02B27/01,['G02B'],1,G02B2027/0159|G02B2027/0132|G02B27/0176|G02B27/0172|G02B30/34|G02F1/133391|G02F1/133388|G02B2027/0178,8,['광학부품(Optics)'],"A head mounted display (HMD) device includes a left-eye display panel and a right-eye display panel. Each of the left-eye and right-eye display panels includes a proximate edge, a distal edge, an active display area having a proximate border and a distal border. A distance between the proximate border and the proximate edge is less than a distance between the distal border and the distal edge. For each display panel, a first border region defined by the distal edge and the distal border contains circuitry for operating pixels of the active display area, whereas a second border region defined by the proximate edge and the proximate border is devoid of circuitry.",669,6.4,WO2018005131,PCT/US2017/037897
294,EP,DEPTH DATA ADJUSTMENT BASED ON NON-VISUAL POSE DATA,B1,Google LLC,Google,2018-04-13,2018,4,2022-02-16,2022,1405,3~5년,0,추출불가,H04N5/232|G01S17/89|G06T7/50|H04N5/222|H04N13/128|H04N13/344|G01S7/51|G01S17/86,"['H04N', 'G01S', 'G06T', 'H04N', 'H04N', 'H04N', 'G01S', 'G01S']",8,G01S17/89|G01S7/51|H04N5/2226|H04N13/128|H04N13/344|H04N5/23258|G01S17/86|H04N5/23267|H04N23/683|H04N5/2329|H04N23/689|H04N23/6812|G06T19/006|H04N13/122|H04N13/366,15,"['영상/음향전송(AV)', '영상처리(Image)']","An HMD adjusts adjusting depth information based on detected motion of the system. The HMD includes a depth camera that collects depth data for objects in the local environment of the HMD. The HMD further includes an inertial measurement unit (IMU) including non-visual motion sensors such as one or more accelerometers, gyroscopes, and the like. The HMD adjusts the received depth information based on motion data provided by the IMU, thereby improving the accuracy of the depth information, and in turn reducing visual artifacts that can result from inaccuracies in the depth information.",590,9.4,WO2019022802,18722810.1
295,EP,METHOD OF USING EYE-TRACKING TO CENTER IMAGE CONTENT IN A DISPLAY,B1,Google LLC,Google,2012-11-01,2012,11,2018-07-25,2018,2092,5년 초과,0,추출불가,G06F3/0485|G06K9/00|G06F3/0484|G06F3/01|G02B27/01|G02B27/00|G01S17/66|A61B3/113,"['G06F', 'G06K', 'G06F', 'G06F', 'G02B', 'G02B', 'G01S', 'A61B']",8,A61B3/113|G06F3/013|G02B27/0093|G01S17/66|G02B27/017|G02B2027/0187|G06F3/012|G06F3/04847|G06F3/0485|G06V40/19|G02B27/0172,11,"['바이오/웨어러블(Bio)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A head-mounted display (HMD) may include an eye-tracking system, an HMD- tracking system and a display configured to display virtual images. The virtual images may present an augmented reality to a wearer of the HMD and the virtual images may adjust dynamically based on HMD-tracking data. However, position and orientation sensor errors may introduce drift into the displayed virtual images. By incorporating eye-tracking data, the drift of virtual images may be reduced. In one embodiment, the eye-tracking data could be used to determine a gaze axis and a target object in the displayed virtual images. The HMD may then move the target object towards a central axis. The HMD may also record data based on the gaze axis, central axis and target object to determine a user interface preference. The user interface preference could be used to adjust similar interactions with the HMD.",884,7.9,WO2013077978,12851095.5
296,WO,VIRTUAL/AUGMENTED REALITY INPUT DEVICE,A1,GOOGLE LLC,Google,2017-05-17,2017,5,,,,미등록(A1 등),32,30항 초과,G06F3/01|G06F3/038|G06F3/0346|G06F3/0354|G06F3/0485,"['G06F', 'G06F', 'G06F', 'G06F', 'G06F']",5,G06F3/011|G06F3/038|G06F3/04855|G06F2203/0383|G06F3/03547|G06F3/0346|G06F3/0482|G06F3/04842|G06F3/04883,9,['컴퓨팅/인터페이스(Computing)'],"A controller configured to control a pointer in a virtual reality environment includes a multi-axis magnetic field sensor, a multi-axis accelerometer, a gyroscope, a touchpad, and a wireless communications circuit. The controller can also include a processor and a memory storing instructions that when executed by the processor, cause the processor to obtain geomagnetic field data from the multi-axis magnetic field sensor, obtain acceleration data describing a direction and a magnitude of force affecting the controller from the multi-axis accelerometer, and obtain angular velocity data describing a rotational position of the controller from the gyroscope. The processor can communicate movement data to a computing device configured to generate a rendering of the virtual reality environment, the movement data describing an orientation of the controller wherein the movement data is based on at least one of the geomagnetic field data, the acceleration data, or the angular velocity data.",996,11,WO2017201162,PCT/US2017/033102
297,WO,DISPLAY PRE-DISTORTION METHODS AND APPARATUS FOR HEAD-MOUNTED DISPLAYS,A1,GOOGLE LLC,Google,2016-12-23,2016,12,,,,미등록(A1 등),18,16~30항,G02B27/01|G02B27/00,"['G02B', 'G02B']",2,G02B27/0093|G02B27/0172|G02B2027/011|G02B2027/0116|G02B2027/014|G06T3/18,6,['광학부품(Optics)'],"Display pre-distortion methods and apparatus for HMDs are disclosed. A disclosed example method includes determining a position of a pupil relative to a lens of the head-mounted display (HMD), determining, based on the determined position, a pre-distortion map for an image to be displayed on a display screen of the HMD, and displaying the image on the display screen of the HMD, wherein the image is modified by the pre-distortion map.",437,6.1,WO2017196405,PCT/US2016/068545
298,EP,TWO-HANDED OBJECT MANIPULATIONS IN VIRTUAL REALITY,B1,Google LLC,Google,2016-12-14,2016,12,2021-02-17,2021,1526,3~5년,4,1~5항,G06F3/01|G06F3/03|G06F3/0484|G06T19/20,"['G06F', 'G06F', 'G06F', 'G06T']",4,G06F3/014|G06F3/0304|G06F2203/0382|G06F2203/04806|G06F2203/04808|G06F3/04842|G06F3/017|G06F3/04845|G02B27/0172|G06F3/011|G06F3/04815|G06T19/006|G06T19/20|G06T2219/2004|G06T2219/2016,15,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","Systems and methods are described for generating a virtual environment including at least one three-dimensional virtual object within a user interface provided in a head mounted display device, detecting a first interaction pattern and a second interaction pattern. In response to detecting the second interaction pattern, a modified version of the three-dimensional virtual object at the first virtual feature is generated according to the first interaction pattern and at the second virtual feature according to the second interaction pattern. The modified version of the three-dimensional virtual object is provided in the user interface in the head mounted display device.",676,8,WO2017196394,16822856.7
299,EP,DYNAMIC LENS FOR HEAD MOUNTED DISPLAY,A1,Google LLC,Google,2015-01-07,2015,1,,,,미등록(A1 등),0,추출불가,G02B27/01,['G02B'],1,G02B3/14|G02B2027/0123|G02B2027/0127|G02B2027/0178|G02B2027/0185|G02B26/0808|G02B27/0172|G02F1/29|G02B27/0103|G02B2027/0141,10,['광학부품(Optics)'],"A Head Mounted Display (""HMD"") includes a display module, an optical combiner, control circuitry, and a lens. The display module generates image light and the optical combiner is for combining the image light with external scene light. The lens is positioned to receive the image light. The lens is capable of dynamically changing at least one lens property of the lens. The control circuitry controls the lens to dynamically change at least one lens property of the lens.",472,4.1,,19163170.4
300,EP,ON-HEAD DETECTION FOR HEAD-MOUNTED DISPLAY,B1,Google LLC,Google,2014-11-06,2014,11,2019-08-14,2019,1742,3~5년,200,30항 초과,G02B27/02|G02B27/01,"['G02B', 'G02B']",2,G02B27/017|G02B2027/0178|G02B2027/014|G01B11/14|G02B27/0093|G02B27/0101|G02B27/0172|H04W52/0254|H04W52/027|H04W88/06|Y02D30/70|H04M1/72412|H04M1/72454|G06F1/163|G06F1/3231|G06F1/3215|G06F1/3287|G06F1/3228|G06F1/325,19,['광학부품(Optics)'],"Embodiments of the disclosure describe on-head detection processes for HMD devices that include at least one lens, an optical sensor positioned in front of the lens to detect light reflected from the lens, at least one image source positioned in front of the lens, and a frame assembly to support the lens and the image source for wearing on a head of the user, wherein the frame assembly comprises a flexible frame assembly to flex such that the optical sensor moves closer to the at least one lens when the HMD is worn by the user. In some embodiments, the optical sensor is positioned to also detect a reflected light from the user's face. The light received by the optical sensor is stronger when the user is wearing the HMD, and thus embodiments determine whether the user is wearing the HMD based on the optical sensor data.",830,41.1,WO2015084536,14867066.4
301,EP,ELECTRONIC DISPLAY STABILIZATION USING PIXEL VELOCITIES,B1,Google LLC,Google,2016-10-05,2016,10,2019-10-02,2019,1092,2~3년,0,추출불가,G06F3/01|G06F3/038|G02B27/01|G06F3/0346|G02B27/00|G06T15/04|G06T19/00|G06T7/285|G06T7/90|H04N13/344|H04N13/376,"['G06F', 'G06F', 'G02B', 'G06F', 'G02B', 'G06T', 'G06T', 'G06T', 'G06T', 'H04N', 'H04N']",11,G06F3/011|G06F3/038|G02B27/017|G02B27/0179|G02B2027/0132|G02B2027/0187|G06F3/0346|G06F3/012|G02B27/0093|G02B2027/014|H04N13/344|H04N13/376|H04N13/378|H04N13/38|H04N13/373|H04N13/398|G02B27/0172|G06T15/04|G06T19/006|G06T2200/04|G06T7/285|G06T7/90,22,"['영상/음향전송(AV)', '광학부품(Optics)', '영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A system (100) includes a head mounted display (HMD) device (102) comprising at least one display (112, 114) and at least one sensor (210) to provide pose information for the HMD device. The system further includes a sensor integrator module (304) coupled to the at least one sensor, the sensor integrator module to determine a motion vector for the HMD device based on the pose information, and an application processor (204) to render a first texture (122, 322) based on pose of the HMD device determined from the pose information. The system further includes a motion analysis module (302) to determine a first velocity field (128, 328) having a pixel velocity for at least a subset of pixels of the first texture, and a compositor (224) to render a second texture (140, 334) based on the first texture, the first velocity field and the motion vector for the HMD, and to provide the second texture to the display of the HMD device.",934,13.4,WO2017087083,16787960
